,title,artist,rank
0,Butter,BTS,1
1,Stay,The Kid LAROI & Justin Bieber,2
2,Bad Habits,Ed Sheeran,3
3,Good 4 U,Olivia Rodrigo,4
4,Kiss Me More,Doja Cat Featuring SZA,5
5,Hurricane,Kanye West,6
6,Industry Baby,Lil Nas X & Jack Harlow,7
7,Levitating,Dua Lipa,8
8,Fancy Like,Walker Hayes,9
9,Jail,Kanye West,10
10,Off The Grid,Kanye West,11
11,Ok Ok,Kanye West,12
12,Deja Vu,Olivia Rodrigo,13
13,Save Your Tears,The Weeknd & Ariana Grande,14
14,Montero (Call Me By Your Name),Lil Nas X,15
15,Junya,Kanye West,16
16,Moon,Kanye West,17
17,Family Ties,Baby Keem & Kendrick Lamar,18
18,Essence,Wizkid Featuring Justin Bieber & Tems,19
19,Praise God,Kanye West,20
20,You Right,Doja Cat & The Weeknd,21
21,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,22
22,Heat Waves,Glass Animals,23
23,Need To Know,Doja Cat,24
24,Take My Breath,The Weeknd,25
25,Jesus Lord,Kanye West,26
26,Jonah,Kanye West,27
27,Believe What I Say,Kanye West,28
28,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),29
29,God Breathed,Kanye West,30
30,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,31
31,Rumors,Lizzo Featuring Cardi B,32
32,Leave Before You Love Me,Marshmello X Jonas Brothers,33
33,Heartbreak Anniversary,Giveon,34
34,Beggin',Maneskin,35
35,Pepas,Farruko,36
36,Waves,Luke Bryan,37
37,Happier Than Ever,Billie Eilish,38
38,Traitor,Olivia Rodrigo,39
39,Remote Control,Kanye West,40
40,Forever After All,Luke Combs,41
41,Heaven And Hell,Kanye West,42
42,24,Kanye West,43
43,Arcade,Duncan Laurence,44
44,Things A Man Oughta Know,Lainey Wilson,45
45,Thot Shit,Megan Thee Stallion,46
46,Chasing After You,Ryan Hurd With Maren Morris,47
47,Late At Night,Roddy Ricch,48
48,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,49
49,If I Didn't Love You,Jason Aldean & Carrie Underwood,50
50,Country Again,Thomas Rhett,51
51,Pure Souls,Kanye West,52
52,No Child Left Behind,Kanye West,53
53,Wockesha,Moneybagg Yo,54
54,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,55
55,A-O-K,Tai Verdes,56
56,Skate,Silk Sonic (Bruno Mars & Anderson .Paak),57
57,Donda,Kanye West,58
58,Keep My Spirit Alive,Kanye West,59
59,Whole Lotta Money,BIA Featuring Nicki Minaj,60
60,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,61
61,2055,Sleepy Hallow,62
62,Jail Pt 2,Kanye West,63
63,"I Am Not A Woman, I'm A God",Halsey,64
64,We Didn't Have Much,Justin Moore,65
65,Love Again,Dua Lipa,66
66,I Was On A Boat That Day,Old Dominion,67
67,New Again,Kanye West,68
68,Todo de Ti,Rauw Alejandro,69
69,Lord I Need You,Kanye West,70
70,Wild Side,Normani Featuring Cardi B,71
71,Volvi,Aventura x Bad Bunny,72
72,Yonaguni,Bad Bunny,73
73,Gyalis,Capella Grey,74
74,Memory,Kane Brown X blackbear,75
75,Woman,Doja Cat,76
76,Come To Life,Kanye West,77
77,Memory I Don't Mess With,Lee Brice,78
78,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,79
79,Cold As You,Luke Combs,80
80,Get Into It (Yuh),Doja Cat,81
81,You Time,Scotty McCreery,82
82,Single Saturday Night,Cole Swindell,83
83,Buy Dirt,Jordan Davis Featuring Luke Bryan,84
84,Summer Of Love,Shawn Mendes & Tainy,85
85,Motley Crew,Post Malone,86
86,My Boy,Elvie Shane,87
87,Ain't Shit,Doja Cat,88
88,Don't Go Yet,Camila Cabello,89
89,Tell The Vision,Kanye West,90
90,You Should Probably Leave,Chris Stapleton,91
91,Come Through,H.E.R. Featuring Chris Brown,92
92,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,93
93,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",94
94,Knowing You,Kenny Chesney,95
95,In Da Getto,J Balvin & Skrillex,96
96,Brutal,Olivia Rodrigo,97
97,AM,Nio Garcia X J Balvin X Bad Bunny,98
98,Repeat It,Lil Tecca & Gunna,99
99,Matt Hardy 999,Trippie Redd Featuring Juice WRLD,100
